coldkey_name,hotkey_name,uid,axon
ae,k1,25,34.233.94.106:21001
ef,k1,180,52.20.132.103:21002
wt1,k1,14,34.203.47.73:21001
wt2,k1,36,35.173.142.70:21002
wt3,k1,134,54.164.164.107:21003
wt4,k1,139,52.72.67.236:21004
wt5,k1,154,54.88.229.240:21005
double_5,l5,246,52.54.237.19:20505
double_5,l8,198,35.173.160.141:20508
double_5,l9,80,52.206.233.219:20509
double_5,l11,116,52.3.45.44:20511
double_5,l14,242,100.28.63.44:20514
double_5,l15,106,52.53.198.201:20515
double_5,l16,136,13.57.132.232:20516
double_5,l18,65,54.215.242.11:20518
double_6,l1,243,13.56.61.230:20601
double_6,l2,168,13.57.146.11:20602
double_6,l5,186,50.18.141.53:20605
double_6,l6,16,52.8.155.54:20606
double_6,l9,11,13.52.111.227:20609
double_6,l11,250,13.56.33.85:20611
double_6,l13,205,100.29.80.250:20613
double_6,l16,245,3.82.74.199:20616
wt7,k1,192,107.22.187.47:21007
wt8,k1,4,3.222.30.122:21008
double_8,l1,247,3.87.206.153:20433
double_8,l2,118,3.213.133.246:20424
double_8,l4,155,100.30.27.65:20427
double_8,l5,21,3.224.158.117:20430
double_8,l7,223,98.85.110.209:20425
double_8,l15,39,23.21.24.251:20435
double_8,l19,174,18.234.5.134:20436
double_8,l29,124,34.231.98.248:20451
wt9,k1,218,3.82.183.209:21009
wt11,k1,102,184.72.55.30:21011
wt12,k1,97,52.52.189.75:21012
wt13,k1,52,54.151.83.208:21013
wt14,k1,221,54.177.175.18:21014
wt15,k1,37,54.193.102.70:21015
wt_19,l1,74,35.81.139.125:20019
wt_20,l1,47,44.228.69.233:20020
wt_21,l1,236,44.232.7.38:20021
wt_22,l1,103,44.255.67.117:20022
wt_23,l1,95,16.144.195.174:20023
wt_24,l1,86,184.32.154.102:20024
wt_25,l1,129,44.252.169.245:20025
wt_26,l1,23,44.255.218.89:20026
wt_27,l1,165,54.189.152.3:20027
wt_28,l1,211,34.215.144.66:20028
wt_29,l1,7,54.185.39.99:20029
wt_31,l1,125,35.166.87.180:20031
wt_32,l1,177,44.230.59.47:20032
