wt_27,l1,165,54.189.152.3:20027,2026-03-21T11:43:29.767534
wt_29,l1,7,54.185.39.99:20029,2026-03-21T12:54:53.983368
double_8,l15,39,23.21.24.251:20435,2026-03-23T06:57:53.641123
wt_37,l1,55,98.89.165.150:20037,2026-03-24T05:05:25.846402
double_5,l5,246,52.54.237.19:20505,2026-03-24T11:37:25.656237
wt_16,l1,111,34.204.144.155:9016,2026-03-24T11:37:25.656286
wt_35,l1,229,44.253.175.233:20035,2026-03-24T11:37:25.656323
wt_38,l1,226,44.211.14.33:20038,2026-03-24T11:37:25.656348
wt_41,l1,149,44.254.61.203:20041,2026-03-24T12:07:40.361400
wt1,k1,124,34.203.47.73:21001,2026-03-25T08:01:04.941317
wt3,k1,193,54.164.164.107:21003,2026-03-25T08:21:23.422898
wt5,k1,210,54.88.229.240:21005,2026-03-25T08:21:23.422921
wt2,k1,196,35.173.142.70:21002,2026-03-25T09:22:16.803380
wt8,k1,4,3.222.30.122:21008,2026-03-25T09:22:16.803415
wt_20,l1,38,44.228.69.233:20020,2026-03-25T15:20:29.986998
